@relation device-data-weka.filters.unsupervised.instance.Resample-S1-Z10.0

@attribute hour numeric
@attribute weekday numeric
@attribute running_days numeric
@attribute cpu numeric
@attribute memory numeric
@attribute storage numeric
@attribute cpu_temperature numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute air_conditioner numeric
@attribute heater numeric
@attribute failure {0, 1}

@data
12,1,0,20,76,95,56.5,24.3,27.4,1,0,0
21,0,0,77,96,95,53.5,17.4,41.2,0,0,0
18,2,0,10,87,91,59.7,22.3,31.4,0,0,0
23,3,0,9,99,94,61.6,17.6,40.8,0,0,0
18,6,2,40,100,88,55.1,22.4,31.2,0,0,0
9,0,0,84,99,87,53.7,20.8,34.4,0,0,0
3,0,2,47,100,95,54.7,16.6,42.8,0,1,0
17,1,0,95,100,90,51.5,24.2,27.6,0,0,0
15,6,2,43,91,81,54.4,23,30,1,0,0
8,1,0,12,97,95,53.9,17.8,40.4,0,0,0
23,2,0,82,99,95,58.2,15.2,45.6,0,0,0
8,1,0,41,80,90,51.5,18,40,0,0,0
7,3,0,26,95,78,57.4,17.3,41.4,0,0,0
18,0,0,62,100,92,53,21.3,33.4,0,0,0
20,5,1,62,97,90,55.3,20.2,35.6,0,0,0
5,5,0,36,86,61,60.1,16.5,43,0,0,0
23,3,0,1,89,95,61.5,17.6,40.8,0,0,0
9,1,0,16,90,93,54.6,19.1,37.8,0,0,0
12,4,0,82,79,88,58.2,23.1,29.8,0,0,0
3,1,0,6,87,92,54.5,16.6,42.8,0,0,0
11,5,0,2,80,74,59.1,24.3,27.4,0,0,0
2,1,0,31,96,91,51.4,17,42,0,0,0
1,4,0,48,87,91,59.4,15.7,44.6,0,1,0
5,3,0,19,100,71,58.7,15,46,0,0,0
1,5,0,25,100,88,56.6,15,46,0,1,0
22,0,0,25,80,71,51.8,15.1,45.8,0,0,0
11,3,0,23,99,80,61.4,25,26,1,0,0
17,5,1,70,100,83,56.1,23.3,29.4,0,0,0
3,2,0,52,96,69,58,15.1,45.8,0,0,0
2,5,0,40,93,52,58.6,15.4,45.2,0,1,0
8,6,1,55,73,85,55.5,18.6,38.8,0,0,0
10,4,0,98,87,88,58.5,20.9,34.2,0,0,0
17,4,0,50,98,76,57.2,22.5,31,0,0,0
10,4,0,19,93,75,57.8,19.9,36.2,0,0,0
11,1,0,51,64,95,50.8,24.8,26.4,1,0,0
6,3,0,51,87,66,59.6,15.5,45,0,1,0
17,3,0,46,50,80,60,24.1,27.8,1,0,0
0,3,0,29,86,95,58.1,14.9,46.2,0,1,0
23,1,0,46,98,73,56.6,15.2,45.6,0,1,0
17,4,0,87,91,75,59.3,22.4,31.2,0,0,0
14,6,2,36,84,81,54.6,23,30,1,0,0
1,5,0,45,94,88,56.5,15,46,0,1,0
11,2,0,28,80,82,56.2,23.9,28.2,0,0,0
10,3,0,85,100,74,60.5,21.6,32.8,0,0,0
11,5,0,19,89,95,56.6,24.3,27.4,0,0,0
9,5,0,39,74,63,59.8,20.2,35.6,0,0,0
13,1,0,97,100,91,50.5,23.9,28.2,1,0,0
13,5,0,91,91,95,54.6,24.1,27.8,1,0,0
23,0,0,17,96,69,51.2,15.4,45.2,0,1,0
19,6,2,60,89,88,54.7,21.3,33.4,0,0,0
3,1,0,20,91,95,51.2,16,44,0,0,0
7,3,0,40,89,70,59.7,17.8,40.4,0,0,0
17,0,0,76,98,90,52.8,22.1,31.8,0,0,0
20,0,0,54,94,95,53.5,17.6,40.8,0,0,0
17,3,0,15,58,84,60.2,24.3,27.4,0,0,0
23,2,0,4,95,90,57.9,15.4,45.2,0,1,0
22,0,0,37,87,95,54,15.6,44.8,0,0,0
5,5,0,74,86,95,55.5,16.5,43,0,0,0
22,3,0,78,99,95,57.7,17.7,40.6,0,0,0
10,6,1,83,89,82,55.4,23.1,29.8,0,0,0
20,3,0,4,68,89,61.3,22.1,31.8,0,0,0
13,2,0,16,93,84,60.1,24.5,27,1,0,0
12,0,0,40,98,83,52,24.7,26.6,1,0,0
9,5,0,74,100,67,59.7,20.9,34.2,0,0,0
18,1,0,94,99,93,51.7,22.3,31.4,0,0,0
11,4,0,91,78,80,58.1,21.5,33,0,0,0
7,1,0,14,91,90,51,16.9,42.2,0,1,0
23,2,0,80,82,85,58,15,46,0,1,0
18,2,0,63,96,90,57.4,23.4,29.2,1,0,0
0,2,0,93,100,95,53.2,15.3,45.4,0,0,0
21,3,0,13,90,95,57.4,18.2,39.6,0,0,0
22,2,0,65,85,88,58.4,16.2,43.6,0,0,0
11,5,0,41,65,71,59.5,23.3,29.4,0,0,0
3,0,2,22,97,95,54.4,16.9,42.2,0,1,0
12,3,0,90,78,81,57.2,25,26,1,0,0
8,5,0,12,42,66,59.5,18.4,39.2,0,0,0
0,3,0,94,66,95,57.2,15.6,44.8,0,1,0
4,1,0,78,41,92,54.6,16,44,0,0,0
1,1,0,47,97,93,51.1,16.5,43,0,1,0
20,3,0,43,80,92,58.4,19.8,36.4,0,0,0
20,0,0,6,93,95,53.6,17.6,40.8,0,0,0
9,5,0,84,100,87,56.8,19.4,37.2,0,0,0
1,5,0,22,99,88,56.6,15,46,0,1,0
20,3,0,34,64,87,61.9,21.3,33.4,0,0,0
20,1,0,63,75,70,54.5,18.5,39,0,0,0
11,1,0,76,69,87,56.5,24,28,0,0,0
0,5,0,86,81,88,56.5,14.9,46.2,0,1,0
20,3,0,61,87,91,59.2,20.3,35.4,0,0,0
10,5,0,35,89,95,56.4,23.8,28.4,0,0,0
13,1,0,26,98,92,50.4,24.3,27.4,1,0,0
23,0,0,96,100,74,51.1,15.6,44.8,0,1,0
0,4,0,26,100,93,59.7,15.2,45.6,0,0,0
7,6,1,7,82,86,55.7,16.3,43.4,0,0,0
7,3,0,70,100,63,59.9,15.9,44.2,0,1,0
0,6,1,15,92,91,55.6,17,42,0,0,0
10,4,0,50,94,87,58.3,20,36,0,0,0
18,0,0,91,95,92,53.1,21.3,33.4,0,0,0
22,4,0,72,95,82,56.8,18.3,39.4,0,0,0
22,3,0,74,100,93,57.6,17.7,40.6,0,0,0
6,3,0,100,91,83,57.8,16,44,0,1,0
18,3,0,86,40,84,60.3,23.8,28.4,0,0,0
15,5,0,14,96,89,54.4,23.7,28.6,0,0,0
21,6,2,73,96,91,55.4,17.6,40.8,0,0,0
9,3,0,19,98,71,60.4,19.8,36.4,0,0,0
0,4,0,5,100,93,59.8,15,46,0,0,0
2,1,0,62,92,93,51.4,16.4,43.2,0,0,0
22,6,2,93,68,95,55.6,16.7,42.6,0,0,0
20,6,2,83,92,93,54.8,19.8,36.4,0,0,0
0,4,0,94,84,79,57.9,16.3,43.4,0,0,0
13,0,0,64,99,79,51.6,24.4,27.2,1,0,0
3,4,0,100,100,93,59,16.7,42.6,0,1,0
2,5,0,68,77,92,55.9,15.4,45.2,0,1,0
18,4,0,41,66,76,58.1,21.9,32.2,0,0,0
21,1,0,31,78,94,53.4,18.9,38.2,0,0,0
19,0,0,98,100,95,53.4,19.9,36.2,0,0,0
13,1,0,24,77,95,56,24.2,27.6,1,0,0
21,3,0,85,87,91,61.8,20,36,0,0,0
14,3,0,32,95,73,57.7,23.1,29.8,1,0,0
9,0,0,88,98,89,53.3,20.9,34.2,0,0,0
16,5,1,63,78,82,56.9,23.9,28.2,0,0,0
12,1,0,96,100,95,56.2,24.2,27.6,1,0,0
7,3,0,64,52,62,59.6,16.8,42.4,0,1,0
19,6,2,69,95,93,55.1,20.2,35.6,0,0,0
22,0,0,22,84,95,54,15.6,44.8,0,0,0
0,6,1,73,89,88,55.4,16.4,43.2,0,0,0
9,1,0,3,85,93,56,20.3,35.4,0,0,0
6,5,0,30,83,89,56.3,15,46,0,1,0
8,5,0,28,46,64,59.5,18.4,39.2,0,0,0
10,1,0,38,94,92,50.9,22.3,31.4,0,0,0
10,2,0,66,88,80,56.7,22.4,31.2,0,0,0
7,1,0,20,100,94,54.9,16.1,43.8,0,1,0
16,0,0,67,67,54,50,19.4,37.2,0,0,0
15,0,0,39,76,52,50.1,18.2,39.6,0,0,0
10,3,0,21,96,81,58.4,22.9,30.2,0,0,0
3,3,0,100,91,86,58.5,16.1,43.8,0,0,0
4,4,0,89,90,79,58.2,16.4,43.2,0,1,0
5,5,0,50,96,91,55.6,16,44,0,0,0
8,2,0,15,100,84,55.6,18.9,38.2,0,0,0
8,3,0,13,92,71,60.4,19.6,36.8,0,0,0
21,5,1,76,73,91,55.8,19.5,37,0,0,0
2,3,0,48,98,95,57.7,16.7,42.6,0,1,0
11,6,1,79,95,85,54.8,24.7,26.6,1,0,0
14,1,0,32,99,95,56.4,23.1,29.8,0,0,0
18,3,0,79,80,80,60.1,22.5,31,0,0,0
0,1,0,26,81,95,54.6,15.6,44.8,0,1,0
5,5,0,54,100,92,55.5,16.9,42.2,0,1,0
21,1,0,69,74,70,55.5,17.5,41,0,0,0
17,1,0,100,97,75,55.1,24.1,27.8,1,0,0
7,1,0,81,86,88,51,16.7,42.6,0,1,0
22,3,0,33,91,95,57.5,17.7,40.6,0,0,0
17,6,2,19,100,88,54.8,22.7,30.6,0,0,0
13,3,0,25,100,72,57,24.1,27.8,1,0,0
3,5,0,79,84,52,60,16.1,43.8,0,1,0
12,0,0,84,88,87,51.9,24.7,26.6,1,0,0
6,4,0,52,69,86,57.3,15.1,45.8,0,1,0
1,1,0,88,99,91,54.3,15.7,44.6,0,1,0
8,2,0,96,100,83,55.8,19.3,37.4,0,0,0
7,0,2,89,100,94,55,16,44,0,1,0
11,5,0,40,99,95,56.6,25,26,1,0,0
14,6,2,14,86,88,55.4,23.7,28.6,1,0,0
8,4,0,67,57,81,58,17.7,40.6,0,0,0
1,3,0,17,94,90,58.4,15.4,45.2,0,1,0
22,4,0,57,82,80,56.2,18,40,0,0,0
19,0,0,92,100,68,51.6,18.5,39,0,0,0
15,4,0,63,73,67,59.1,24.5,27,1,0,0
18,5,1,46,59,88,55.7,22.6,30.8,0,0,0
1,3,0,100,65,95,57.3,15.6,44.8,0,1,0
3,3,0,72,92,86,59.1,16.5,43,0,0,0
4,3,0,82,74,94,58.3,15.9,44.2,0,0,0
11,2,0,23,73,82,55.6,24.3,27.4,0,0,0
13,3,0,8,86,79,57.2,24.3,27.4,1,0,0
20,4,0,66,95,79,57.1,19.8,36.4,0,0,0
17,3,0,96,45,80,59.8,24,28,1,0,0
22,1,0,41,93,93,53.3,17.3,41.4,0,0,0
0,2,0,50,47,87,52.7,14.9,46.2,0,1,0
20,1,0,94,86,69,54.5,19,38,0,0,0
9,3,0,90,100,75,57.8,20,36,0,0,0
13,1,0,20,100,92,50.4,24.3,27.4,1,0,0
15,4,0,17,100,76,58.1,24,28,1,0,0
23,0,0,40,86,76,50.9,16,44,0,1,0
11,1,0,35,67,94,56.3,24.6,26.8,1,0,0
19,1,0,31,68,94,51.7,21.4,33.2,0,0,0
13,1,0,79,89,95,56.2,23.6,28.8,1,0,0
19,2,0,93,78,92,59.4,20,36,0,0,0
15,3,0,56,100,77,58.6,23.6,28.8,0,0,0
1,3,0,89,95,91,58.8,15.6,44.8,0,1,0
14,5,0,26,92,88,53.9,23.4,29.2,1,0,0
1,5,0,1,95,88,56.2,14.9,46.2,0,1,0
2,2,0,94,100,89,52.4,15.9,44.2,0,1,0
5,3,0,6,94,95,58,15,46,0,0,0
17,1,0,72,95,73,55.7,23.5,29,1,0,0
0,6,1,70,81,88,55.8,17.3,41.4,0,0,0
15,5,0,64,99,88,53.6,23.1,29.8,1,0,0
22,1,0,52,90,93,53.2,17.3,41.4,0,0,0
1,5,0,4,99,88,56.1,14.9,46.2,0,1,0
19,5,1,5,100,93,55.7,21.2,33.6,0,0,0
16,5,0,51,100,82,53.1,24.7,26.6,1,0,0
23,1,0,16,96,94,53.2,15.7,44.6,0,0,0
3,2,0,81,90,73,59.1,15.1,45.8,0,1,0
12,2,0,31,95,88,56.5,24.7,26.6,1,0,0
15,6,2,53,98,81,54.6,23,30,1,0,0
13,0,0,80,87,83,51.6,24.2,27.6,1,0,0
18,5,1,34,96,81,56.1,22.8,30.4,0,0,0
13,2,0,71,61,83,60.1,24.5,27,1,0,0
9,3,0,56,100,75,57.9,20.3,35.4,0,0,0
20,3,0,61,42,89,61.7,21.8,32.4,0,0,0
21,1,0,14,90,94,53.4,18.7,38.6,0,0,0
13,4,0,9,100,72,57.8,24.6,26.8,0,0,0
0,5,0,21,52,90,56,14.9,46.2,0,1,0
21,1,0,55,100,92,52.8,18.3,39.4,0,0,0
1,4,0,91,99,91,59.5,15.7,44.6,0,1,0
11,5,0,56,98,95,56.6,24.3,27.4,0,0,0
9,5,0,83,33,66,59.7,19.1,37.8,0,0,0
10,2,0,48,93,77,56.1,21.9,32.2,0,0,0
20,1,0,33,73,70,54.5,19,38,0,0,0
6,5,0,69,61,61,59.5,15.6,44.8,0,1,0
7,6,1,23,89,85,54.9,17.3,41.4,0,0,0
21,1,0,84,84,70,55.5,18,40,0,0,0
9,1,0,11,87,87,50.6,20.9,34.2,0,0,0
12,2,0,34,71,87,59.7,25,26,1,0,0
4,5,0,85,83,61,60.3,16.5,43,0,0,0
5,1,0,95,100,95,51.2,16,44,0,1,0
14,3,0,51,86,72,57.1,23.4,29.2,1,0,0
5,3,0,100,97,71,58.6,14.9,46.2,0,1,0
21,6,2,7,69,95,55.3,16.9,42.2,0,0,0
17,3,0,64,57,84,60.3,24.3,27.4,0,0,0
16,3,0,28,94,80,59.4,24.6,26.8,1,0,0
5,4,0,7,92,79,58.5,16.6,42.8,0,1,0
6,5,0,77,68,58,59,16,44,0,1,0
11,2,0,25,64,82,55.8,24.5,27,0,0,0
17,5,1,84,87,84,56.3,23.3,29.4,0,0,0
2,2,0,81,93,87,52.2,16.7,42.6,0,1,0
12,5,0,12,100,93,56.6,24.7,26.6,1,0,0
13,1,0,92,100,95,56.1,23.6,28.8,1,0,0
8,2,0,19,74,93,60.1,19.2,37.6,0,0,0
19,1,0,55,90,72,54.7,21.3,33.4,0,0,0
20,3,0,3,89,89,59.4,20.6,34.8,0,0,0
14,5,1,93,81,92,56.1,23.7,28.6,1,0,0
22,3,0,72,96,89,57.7,17.4,41.2,0,0,0
3,5,0,59,93,52,59.7,16,44,0,1,0
16,0,0,76,96,94,52.5,23.2,29.6,1,0,0
12,4,0,10,73,78,58.9,22.9,30.2,0,0,0
5,6,1,86,50,85,56,16.9,42.2,0,1,0
6,4,0,11,95,86,57.7,15.2,45.6,0,1,0
16,2,0,79,100,85,57.7,24.3,27.4,0,0,0
23,4,0,40,100,56,57.3,14.9,46.2,0,1,0
23,4,0,11,71,57,57.6,15.4,45.2,0,0,0
1,5,0,21,91,56,58.5,15.2,45.6,0,1,0
18,4,0,100,84,64,59.1,20.8,34.4,0,0,0
18,0,0,17,88,92,53.1,21.2,33.6,0,0,0
8,3,0,35,96,71,60.5,19.6,36.8,0,0,0
7,2,0,25,28,89,60.6,18.1,39.8,0,0,0
10,2,0,76,98,77,56.2,21.9,32.2,0,0,0
22,5,1,39,95,93,55.4,19.2,37.6,0,0,0
17,2,0,73,87,87,57.3,24.3,27.4,1,0,0
6,0,2,33,100,87,54.2,15.3,45.4,0,1,0
16,3,0,72,92,80,59.5,24.7,26.6,1,0,0
6,5,0,30,84,93,55.6,15.8,44.4,0,0,0
5,1,0,67,98,95,51.6,16,44,0,1,0
12,1,0,15,88,93,50.7,24.5,27,1,0,0
15,4,0,13,94,67,58.9,24.7,26.6,1,0,0
3,5,0,62,87,56,60.2,16.1,43.8,0,1,0
8,1,0,29,100,95,54.1,17.7,40.6,0,0,0
7,1,0,14,90,90,51.2,17.5,41,0,0,0
2,2,0,18,95,89,52.4,16.1,43.8,0,1,0
5,5,0,93,91,92,55.8,16.2,43.6,0,0,0
15,3,0,99,89,85,61.8,23.4,29.2,1,0,0
14,1,0,61,100,93,56.4,23.1,29.8,1,0,0
12,3,0,36,64,84,61.7,24.9,26.2,1,0,0
23,2,0,75,97,95,58.4,15.2,45.6,0,0,0
18,1,0,3,78,69,55.1,22.6,30.8,0,0,0
9,3,0,89,100,73,60.6,20.3,35.4,0,0,0
14,3,0,92,84,85,62.2,24.1,27.8,1,0,0
23,2,0,22,98,95,58.7,15.6,44.8,0,0,0
0,1,0,23,92,78,50.9,16.2,43.6,0,1,0
20,5,1,29,92,92,55.6,20.8,34.4,0,0,0
6,3,0,74,89,66,59.6,15.5,45,0,1,0
18,5,1,32,74,88,55.8,22.6,30.8,0,0,0
10,4,0,84,82,87,58.6,20.3,35.4,0,0,0
4,5,0,76,88,95,56.2,16.3,43.4,0,1,0
8,4,0,8,73,78,57.8,17.2,41.6,0,0,0
22,1,0,79,82,95,52.9,17,42,0,0,0
0,2,0,12,95,74,57.8,15.7,44.6,0,1,0
21,3,0,40,55,91,62.1,20.6,34.8,0,0,0
12,2,0,34,66,87,59.3,24.7,26.6,1,0,0
1,1,0,50,94,93,51.2,16.5,43,0,1,0
1,2,0,88,68,70,58.2,16.7,42.6,0,1,0
22,0,0,54,91,72,52,15.1,45.8,0,1,0
2,3,0,26,81,87,58.9,16.7,42.6,0,1,0
18,5,1,24,69,89,53.3,23.1,29.8,1,0,0
15,1,0,31,96,84,55.5,24.8,26.4,0,0,0
20,4,0,50,100,79,57,19.9,36.2,0,0,0
21,4,0,89,78,82,57,18.9,38.2,0,0,0
9,2,0,34,71,85,60.3,20,36,0,0,0
4,1,0,81,57,88,54.6,15.6,44.8,0,0,0
20,6,2,41,83,93,55,18.5,39,0,0,0
0,1,0,24,100,92,53.7,15.3,45.4,0,1,0
19,4,0,88,81,78,57.3,20.2,35.6,0,0,0
14,2,0,72,84,84,60.5,24.3,27.4,1,0,0
2,3,0,16,87,95,57.9,16.7,42.6,0,1,0
14,3,0,26,85,85,61.9,24.1,27.8,1,0,0
21,0,0,73,82,72,51.9,15.6,44.8,0,0,0
0,4,0,83,99,93,59.8,14.9,46.2,0,1,0
16,2,0,59,73,85,57.7,24.4,27.2,0,0,0
20,2,0,14,31,93,57.3,20.3,35.4,0,0,0
12,5,0,51,97,91,55.7,24.3,27.4,1,0,0
19,3,0,36,100,86,59.4,21.4,33.2,0,0,0
11,6,1,99,77,87,55.2,24.5,27,0,0,0
0,5,0,50,64,88,56.4,14.9,46.2,0,1,0
23,4,0,1,100,85,56.1,15.9,44.2,0,0,0
4,3,0,54,93,79,58.7,15.6,44.8,0,0,0
20,0,0,1,96,64,51.7,17.7,40.6,0,0,0
9,2,0,99,86,84,59.6,21.3,33.4,0,0,0
14,0,0,60,91,81,52.3,23.9,28.2,1,0,0
21,6,2,95,69,95,55.4,16.9,42.2,0,0,0
8,6,1,35,76,81,55.4,18.6,38.8,0,0,0
5,4,0,55,100,89,58.1,14.9,46.2,0,1,0
8,6,1,12,71,85,55.5,18.6,38.8,0,0,0
23,4,0,22,89,85,56.3,17.1,41.8,0,0,0
8,2,0,75,87,94,54.8,18,40,0,0,0
17,1,0,63,98,89,51.1,24.6,26.8,0,0,0
8,3,0,61,82,72,59.8,18,40,0,0,0
4,1,0,76,51,91,54.7,15.5,45,0,0,0
3,0,2,13,93,95,54.7,16.6,42.8,0,1,0
19,4,0,32,87,61,59.1,20.2,35.6,0,0,0
14,3,0,24,100,71,57.5,23.2,29.6,1,0,0
5,0,2,69,100,87,54.2,15.2,45.6,0,1,0
7,2,0,56,54,86,61,17.3,41.4,0,0,0
13,2,0,54,70,83,60.3,24.5,27,1,0,0
19,5,1,73,99,93,55.8,21.2,33.6,0,0,0
11,5,0,62,92,70,59.4,23.7,28.6,0,0,0
6,5,0,98,65,61,59.3,15.6,44.8,0,1,0
11,4,0,73,72,88,58.3,22.2,31.6,0,0,0
5,1,0,26,89,90,54.3,15.5,45,0,1,0
1,2,0,95,97,89,52.2,15.8,44.4,0,1,0
14,5,1,82,71,91,56.2,23.8,28.4,1,0,0
8,3,0,56,97,71,60.3,19.7,36.6,0,0,0
15,3,0,58,96,88,62.5,23.5,29,1,0,0
6,4,0,28,100,86,57.3,15.2,45.6,0,1,0
14,4,0,44,100,72,57.7,24.9,26.2,1,0,0
9,2,0,42,89,85,59.7,20.8,34.4,0,0,0
2,5,0,61,87,92,55.9,15.5,45,0,1,0
4,4,0,94,98,95,59,16.1,43.8,0,0,0
11,2,0,80,80,82,56.2,23.9,28.2,0,0,0
23,6,2,37,91,95,56.4,15,46,0,0,0
5,1,0,70,88,95,51.7,16,44,0,1,0
13,4,0,8,99,87,57.4,24.6,26.8,1,0,0
18,2,0,50,93,90,57.3,23.4,29.2,1,0,0
0,2,0,100,100,73,56.8,15.2,45.6,0,1,0
7,6,1,9,84,86,55.7,16.4,43.2,0,0,0
6,4,0,74,100,86,57.6,15.2,45.6,0,1,0
18,4,0,37,92,73,58.8,20.9,34.2,0,0,0
10,4,0,25,84,88,58.4,20.8,34.4,0,0,0
14,1,0,28,97,95,50.5,23.6,28.8,1,0,0
6,2,0,95,96,94,54.9,16.3,43.4,0,1,0
8,4,0,99,63,81,57.5,17.2,41.6,0,0,0
7,1,0,49,84,94,54.4,16.5,43,0,1,0
6,0,2,38,96,90,54.8,15.6,44.8,0,1,0
0,3,0,97,66,95,57.2,15.6,44.8,0,1,0
1,1,0,26,100,91,54.4,16,44,0,1,0
8,3,0,33,73,72,59.9,18,40,0,0,0
21,4,0,38,94,56,58,17.4,41.2,0,0,0
14,3,0,52,100,85,61.9,23.9,28.2,1,0,0
18,1,0,65,97,90,52.2,23.4,29.2,0,0,0
10,3,0,17,56,75,57.8,21.2,33.6,0,0,0
4,1,0,27,40,92,54.6,16.1,43.8,0,0,0
14,1,0,53,98,95,56.5,23.1,29.8,0,0,0
13,2,0,51,89,85,57.4,24,28,1,0,0
15,0,0,1,95,81,52.4,23.9,28.2,1,0,0
6,6,1,73,63,85,56.4,17,42,0,0,0
7,2,0,22,46,86,60.7,17.6,40.8,0,0,0
14,1,0,62,88,84,55.9,24.8,26.4,0,0,0
13,2,0,41,79,83,60.1,24.5,27,1,0,0
2,0,2,88,72,95,54.6,16.5,43,0,1,0
10,6,1,53,97,85,55.5,23.9,28.2,0,0,0
0,2,0,1,96,74,57.8,15.8,44.4,0,1,0
22,2,0,86,100,86,57.9,15.2,45.6,0,0,0
3,4,0,2,48,79,57.7,15.9,44.2,0,1,0
19,6,2,35,100,92,54.6,21.2,33.6,0,0,0
9,1,0,9,100,87,50.6,21,34,0,0,0
17,3,0,72,82,89,61,24.7,26.6,0,0,0
15,5,1,100,80,85,56.6,22.9,30.2,0,0,0
9,5,0,50,92,67,59.8,21.2,33.6,0,0,0
23,1,0,89,91,92,53,16.7,42.6,0,0,0
11,3,0,19,92,81,57.8,24.2,27.6,0,0,0
22,2,0,29,85,95,57.2,17.5,41,0,0,0
21,4,0,53,100,82,56.9,18.9,38.2,0,0,0
12,5,0,38,99,93,55.7,24.5,27,1,0,0
4,0,2,82,96,89,54.4,15.7,44.6,0,0,0
14,0,0,1,97,81,52.2,23.9,28.2,1,0,0
